episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
93,3001,0.022027254104614258,-1.4011921882629395,24.0,24,nan,nan,nan,nan,113.0
94,3143,0.13073253631591797,-0.3923325538635254,142.0,142,nan,nan,nan,nan,113.0
95,3215,0.06649971008300781,-0.2102205753326416,72.0,72,nan,nan,nan,nan,113.0
96,3257,0.03959822654724121,0.3200814723968506,42.0,42,nan,nan,nan,nan,113.0
97,3305,0.04447627067565918,-1.2170331478118896,48.0,48,nan,nan,nan,nan,113.0
98,3380,0.06804561614990234,-1.1097527742385864,75.0,75,nan,nan,nan,nan,113.0
99,3396,0.015587329864501953,1.2478458881378174,16.0,16,nan,nan,nan,nan,113.0
100,3427,0.03618764877319336,0.34441182017326355,31.0,31,258.75,185.8063171692502,45.0,25.410627697874762,258.75
101,3487,0.06019711494445801,1.7358372211456299,60.0,60,nan,nan,nan,nan,258.75
102,3525,0.03759479522705078,0.49682772159576416,38.0,38,nan,nan,nan,nan,258.75
103,3559,0.03383636474609375,0.43816614151000977,34.0,34,nan,nan,nan,nan,258.75
104,3588,0.035083770751953125,-0.05236262083053589,29.0,29,nan,nan,nan,nan,258.75
105,3698,0.10346817970275879,-0.1071087121963501,110.0,110,nan,nan,nan,nan,258.75
106,3794,0.11412739753723145,0.33773916959762573,96.0,96,nan,nan,nan,nan,258.75
107,3909,0.12328457832336426,-0.5930418968200684,115.0,115,nan,nan,nan,nan,258.75
108,3948,0.04440045356750488,1.6469340324401855,39.0,39,nan,nan,nan,nan,258.75
109,4085,0.15195059776306152,-2.359463691711426,137.0,137,nan,nan,nan,nan,258.75
110,4213,0.13823509216308594,-1.7548449039459229,128.0,128,nan,nan,nan,nan,258.75
111,4250,0.03926706314086914,-0.5019952058792114,37.0,37,nan,nan,nan,nan,258.75
112,4288,0.04329395294189453,0.5285448431968689,38.0,38,nan,nan,nan,nan,258.75
113,4416,0.11956262588500977,-0.6575099229812622,128.0,128,nan,nan,nan,nan,258.75
114,4439,0.04176664352416992,-2.9116530418395996,23.0,23,nan,nan,nan,nan,258.75
115,4575,0.24201488494873047,3.092761754989624,136.0,136,nan,nan,nan,nan,258.75
116,4711,0.16599488258361816,2.089221239089966,136.0,136,nan,nan,nan,nan,258.75
117,4754,0.058641672134399414,-3.102534294128418,43.0,43,nan,nan,nan,nan,258.75
118,4801,0.05534982681274414,-0.07054054737091064,47.0,47,nan,nan,nan,nan,258.75
119,4903,0.1462562084197998,1.4361741542816162,102.0,102,nan,nan,nan,nan,258.75
120,4944,0.061662912368774414,0.8089212775230408,41.0,41,nan,nan,nan,nan,258.75
121,5025,0.11716699600219727,-0.1671992540359497,81.0,81,nan,nan,nan,nan,258.75
122,5037,0.02195882797241211,1.931056022644043,12.0,12,nan,nan,nan,nan,258.75
123,5068,0.04261422157287598,0.7545028924942017,31.0,31,nan,nan,nan,nan,258.75
124,5118,0.07342791557312012,0.34367895126342773,50.0,50,nan,nan,nan,nan,258.75
125,5197,0.07014822959899902,0.08383122086524963,79.0,79,64.7,13.405595846511263,45.85,18.174914030058023,258.75
126,5232,0.042086124420166016,-0.5661380887031555,35.0,35,nan,nan,nan,nan,258.75
127,5269,0.039235591888427734,-1.6820063591003418,37.0,37,nan,nan,nan,nan,258.75
128,5305,0.042552947998046875,-0.5213562250137329,36.0,36,nan,nan,nan,nan,258.75
129,5343,0.039031267166137695,-0.03948026895523071,38.0,38,nan,nan,nan,nan,258.75
130,5359,0.016099214553833008,-0.849959135055542,16.0,16,nan,nan,nan,nan,258.75
131,5415,0.07059192657470703,-0.215165376663208,56.0,56,nan,nan,nan,nan,258.75
132,5460,0.04124188423156738,-1.6679195165634155,45.0,45,nan,nan,nan,nan,258.75
133,5510,0.04273176193237305,0.14353835582733154,50.0,50,nan,nan,nan,nan,258.75
134,5528,0.020272493362426758,-1.142918586730957,18.0,18,nan,nan,nan,nan,258.75
135,5602,0.07878494262695312,-1.4262574911117554,74.0,74,nan,nan,nan,nan,258.75
136,5630,0.04426980018615723,2.0876426696777344,28.0,28,nan,nan,nan,nan,258.75
137,5735,0.2852497100830078,0.79034423828125,105.0,105,nan,nan,nan,nan,258.75
138,5797,0.0767054557800293,0.8085030317306519,62.0,62,nan,nan,nan,nan,258.75
139,5827,0.02781534194946289,1.1159296035766602,30.0,30,nan,nan,nan,nan,258.75
140,5901,0.062279462814331055,0.07751154899597168,74.0,74,nan,nan,nan,nan,258.75
141,6009,0.11196160316467285,0.025603771209716797,108.0,108,nan,nan,nan,nan,258.75
142,6028,0.02292037010192871,2.536491870880127,19.0,19,nan,nan,nan,nan,258.75
143,6107,0.07792210578918457,1.0629923343658447,79.0,79,nan,nan,nan,nan,258.75
144,6138,0.027385234832763672,0.5097054839134216,31.0,31,nan,nan,nan,nan,258.75
145,6178,0.04033088684082031,0.11705580353736877,40.0,40,nan,nan,nan,nan,258.75
146,6221,0.053061723709106445,0.9052029252052307,43.0,43,nan,nan,nan,nan,258.75
147,6298,0.07070755958557129,-2.625803232192993,77.0,77,nan,nan,nan,nan,258.75
148,6338,0.04245281219482422,-2.201164722442627,40.0,40,nan,nan,nan,nan,258.75
149,6354,0.016846895217895508,-1.0003833770751953,16.0,16,nan,nan,nan,nan,258.75
150,6456,0.14877772331237793,0.3923804759979248,102.0,102,394.65,139.32561681184117,65.5,45.34368754303073,394.65
151,6565,0.09700393676757812,-0.25204265117645264,109.0,109,nan,nan,nan,nan,394.65
152,6602,0.03458142280578613,-0.096957266330719,37.0,37,nan,nan,nan,nan,394.65
153,6844,0.22337937355041504,-3.0393757820129395,242.0,242,nan,nan,nan,nan,394.65
154,6864,0.019636154174804688,0.3290789723396301,20.0,20,nan,nan,nan,nan,394.65
155,6967,0.09267091751098633,-1.5726653337478638,103.0,103,nan,nan,nan,nan,394.65
156,7030,0.05472421646118164,-0.7865331172943115,63.0,63,nan,nan,nan,nan,394.65
157,7137,0.10493254661560059,-0.918146014213562,107.0,107,nan,nan,nan,nan,394.65
158,7253,0.13825488090515137,-0.654289722442627,116.0,116,nan,nan,nan,nan,394.65
159,7280,0.02912449836730957,0.24296486377716064,27.0,27,nan,nan,nan,nan,394.65
160,7299,0.0176239013671875,-0.5948752164840698,19.0,19,nan,nan,nan,nan,394.65
161,7330,0.0277254581451416,-4.527772903442383,31.0,31,nan,nan,nan,nan,394.65
162,7380,0.04702425003051758,0.16522866487503052,50.0,50,nan,nan,nan,nan,394.65
163,7394,0.01227116584777832,-2.8672704696655273,14.0,14,nan,nan,nan,nan,394.65
164,7423,0.027912616729736328,-1.582642674446106,29.0,29,nan,nan,nan,nan,394.65
165,7454,0.03236818313598633,-2.969367027282715,31.0,31,nan,nan,nan,nan,394.65
166,7573,0.0926053524017334,0.3155306577682495,119.0,119,nan,nan,nan,nan,394.65
167,7651,0.14490962028503418,-4.494760513305664,78.0,78,nan,nan,nan,nan,394.65
168,7677,0.0402987003326416,-1.30420982837677,26.0,26,nan,nan,nan,nan,394.65
169,7698,0.032413482666015625,-5.711627006530762,21.0,21,nan,nan,nan,nan,394.65
170,7730,0.04564666748046875,0.44830775260925293,32.0,32,nan,nan,nan,nan,394.65
171,7830,0.12955498695373535,-0.7351284027099609,100.0,100,nan,nan,nan,nan,394.65
172,7864,0.0472564697265625,-0.44741272926330566,34.0,34,nan,nan,nan,nan,394.65
173,8020,0.25321531295776367,0.25035619735717773,156.0,156,nan,nan,nan,nan,394.65
174,8042,0.04048609733581543,-0.6607962846755981,22.0,22,nan,nan,nan,nan,394.65
175,8133,0.13782358169555664,-0.978378176689148,91.0,91,357.55,144.76307367557516,78.2,37.73539452556445,394.65
176,8255,0.13352155685424805,-2.7023091316223145,122.0,122,nan,nan,nan,nan,394.65
177,8281,0.03020191192626953,-8.294488906860352,26.0,26,nan,nan,nan,nan,394.65
178,8395,0.10242938995361328,-1.4315110445022583,114.0,114,nan,nan,nan,nan,394.65
179,8434,0.03973531723022461,-0.18156033754348755,39.0,39,nan,nan,nan,nan,394.65
180,8467,0.029604673385620117,-0.5938460826873779,33.0,33,nan,nan,nan,nan,394.65
181,8633,0.14708399772644043,0.4800668954849243,166.0,166,nan,nan,nan,nan,394.65
182,8674,0.04800057411193848,-0.2489389181137085,41.0,41,nan,nan,nan,nan,394.65
183,8714,0.04020190238952637,-2.4573922157287598,40.0,40,nan,nan,nan,nan,394.65
184,8832,0.1113438606262207,-0.24220812320709229,118.0,118,nan,nan,nan,nan,394.65
185,8892,0.12424635887145996,-0.27175867557525635,60.0,60,nan,nan,nan,nan,394.65
186,9043,0.17642712593078613,-0.12267333269119263,151.0,151,nan,nan,nan,nan,394.65
187,9144,0.09570813179016113,-2.176036834716797,101.0,101,nan,nan,nan,nan,394.65
188,9203,0.05454206466674805,-0.03227353096008301,59.0,59,nan,nan,nan,nan,394.65
189,9281,0.07035994529724121,2.043771505355835,78.0,78,nan,nan,nan,nan,394.65
190,9354,0.0664212703704834,-0.10399532318115234,73.0,73,nan,nan,nan,nan,394.65
191,9603,0.23077869415283203,2.4973223209381104,249.0,249,nan,nan,nan,nan,394.65
192,9690,0.1092689037322998,-0.9378488063812256,87.0,87,nan,nan,nan,nan,394.65
193,9790,0.10092830657958984,-2.0757527351379395,100.0,100,nan,nan,nan,nan,394.65
194,9902,0.12653064727783203,-0.25955647230148315,112.0,112,nan,nan,nan,nan,394.65
195,10002,0.09381246566772461,-2.5614380836486816,100.0,100,nan,nan,nan,nan,394.65
196,10195,0.18457722663879395,2.338452100753784,193.0,193,nan,nan,nan,nan,394.65
197,10425,0.21061992645263672,2.1878199577331543,230.0,230,nan,nan,nan,nan,394.65
198,10472,0.046028852462768555,-0.6668886542320251,47.0,47,nan,nan,nan,nan,394.65
199,10523,0.04767179489135742,-1.1562234163284302,51.0,51,nan,nan,nan,nan,394.65
200,10644,0.11434698104858398,-0.40945589542388916,121.0,121,198.75,132.18769799039546,98.95,53.16340376612468,394.65
201,10710,0.0666346549987793,0.6313903331756592,66.0,66,nan,nan,nan,nan,394.65
202,10859,0.14644980430603027,-4.699284076690674,149.0,149,nan,nan,nan,nan,394.65
203,10989,0.12308478355407715,0.9616475105285645,130.0,130,nan,nan,nan,nan,394.65
204,11072,0.08327317237854004,-5.039308071136475,83.0,83,nan,nan,nan,nan,394.65
205,11160,0.07658505439758301,-1.102895736694336,88.0,88,nan,nan,nan,nan,394.65
206,11266,0.09505534172058105,-1.6006543636322021,106.0,106,nan,nan,nan,nan,394.65
207,11302,0.0379183292388916,1.1793975830078125,36.0,36,nan,nan,nan,nan,394.65
208,11361,0.05941915512084961,-0.3441329002380371,59.0,59,nan,nan,nan,nan,394.65
209,11416,0.05638742446899414,-2.172980546951294,55.0,55,nan,nan,nan,nan,394.65
210,11438,0.02481865882873535,-0.011398077011108398,22.0,22,nan,nan,nan,nan,394.65
211,11690,0.22281098365783691,-1.5143712759017944,252.0,252,nan,nan,nan,nan,394.65
212,11811,0.12857985496520996,-4.015938758850098,121.0,121,nan,nan,nan,nan,394.65
213,12114,0.297313928604126,0.5071390271186829,303.0,303,nan,nan,nan,nan,394.65
214,12321,0.19254255294799805,-4.087639331817627,207.0,207,nan,nan,nan,nan,394.65
215,12342,0.025122404098510742,-7.116710662841797,21.0,21,nan,nan,nan,nan,394.65
216,12510,0.15784645080566406,-3.567650318145752,168.0,168,nan,nan,nan,nan,394.65
217,12600,0.09111833572387695,-4.599246501922607,90.0,90,nan,nan,nan,nan,394.65
218,12673,0.0708165168762207,-3.5383169651031494,73.0,73,nan,nan,nan,nan,394.65
219,12764,0.08745479583740234,-2.7354676723480225,91.0,91,nan,nan,nan,nan,394.65
220,12803,0.04109644889831543,-2.8348684310913086,39.0,39,nan,nan,nan,nan,394.65
221,12927,0.11602592468261719,-0.3142883777618408,124.0,124,nan,nan,nan,nan,394.65
222,12995,0.07726788520812988,1.740897297859192,68.0,68,nan,nan,nan,nan,394.65
223,13293,0.2952239513397217,-6.43351936340332,298.0,298,nan,nan,nan,nan,394.65
224,13346,0.058878421783447266,-2.3863563537597656,53.0,53,nan,nan,nan,nan,394.65
225,13446,0.0989539623260498,-2.5654959678649902,100.0,100,477.7,54.304788002532526,143.45,76.50390512908474,477.7
226,13621,0.16213250160217285,-2.8517966270446777,175.0,175,nan,nan,nan,nan,477.7
227,13698,0.07888627052307129,-4.939735412597656,77.0,77,nan,nan,nan,nan,477.7
228,13834,0.12652230262756348,-0.30319762229919434,136.0,136,nan,nan,nan,nan,477.7
229,13968,0.1238553524017334,-4.906906604766846,134.0,134,nan,nan,nan,nan,477.7
230,14085,0.1069180965423584,-3.094062566757202,117.0,117,nan,nan,nan,nan,477.7
231,14242,0.1483752727508545,-2.369631052017212,157.0,157,nan,nan,nan,nan,477.7
232,14460,0.20479631423950195,-4.5300517082214355,218.0,218,nan,nan,nan,nan,477.7
233,14742,0.2781083583831787,-10.563220024108887,282.0,282,nan,nan,nan,nan,477.7
234,15030,0.2955970764160156,-6.351084232330322,288.0,288,nan,nan,nan,nan,477.7
235,15311,0.2792630195617676,1.3173670768737793,281.0,281,nan,nan,nan,nan,477.7
236,15436,0.1271674633026123,-1.5024033784866333,125.0,125,nan,nan,nan,nan,477.7
237,15591,0.14009928703308105,-2.777963161468506,155.0,155,nan,nan,nan,nan,477.7
238,15723,0.12401771545410156,1.8271205425262451,132.0,132,nan,nan,nan,nan,477.7
239,15944,0.34024858474731445,-7.2046027183532715,221.0,221,nan,nan,nan,nan,477.7
240,16263,0.2833669185638428,-4.76090669631958,319.0,319,nan,nan,nan,nan,477.7
241,16406,0.13490962982177734,-4.408764362335205,143.0,143,nan,nan,nan,nan,477.7
242,16598,0.1867990493774414,-1.8767260313034058,192.0,192,nan,nan,nan,nan,477.7
243,17037,0.4477651119232178,7.958395957946777,439.0,439,nan,nan,nan,nan,477.7
244,17139,0.10773253440856934,-10.123307228088379,102.0,102,nan,nan,nan,nan,477.7
245,17366,0.2885310649871826,-6.93612003326416,227.0,227,nan,nan,nan,nan,477.7
246,17521,0.14995908737182617,1.0899947881698608,155.0,155,nan,nan,nan,nan,477.7
247,17705,0.16978669166564941,0.6997418999671936,184.0,184,nan,nan,nan,nan,477.7
248,17983,0.3041243553161621,-2.247910737991333,278.0,278,nan,nan,nan,nan,477.7
249,18110,0.14006543159484863,-8.733818054199219,127.0,127,nan,nan,nan,nan,477.7
250,18610,0.5872666835784912,1.8210041522979736,500.0,500,467.4,69.23611774211491,228.5,103.00558237299569,477.7
251,18735,0.1400740146636963,-8.642803192138672,125.0,125,nan,nan,nan,nan,477.7
252,19004,0.3206954002380371,1.2488610744476318,269.0,269,nan,nan,nan,nan,477.7
253,19150,0.20204925537109375,-3.55452823638916,146.0,146,nan,nan,nan,nan,477.7
254,19386,0.2658393383026123,-3.4142069816589355,236.0,236,nan,nan,nan,nan,477.7
255,19633,0.2500462532043457,-2.0589592456817627,247.0,247,nan,nan,nan,nan,477.7
256,19917,0.284132719039917,1.3508403301239014,284.0,284,nan,nan,nan,nan,477.7
257,20129,0.24540066719055176,-1.9752074480056763,212.0,212,nan,nan,nan,nan,477.7
258,20386,0.26036763191223145,-3.3189568519592285,257.0,257,nan,nan,nan,nan,477.7
259,20521,0.13580703735351562,-1.8289783000946045,135.0,135,nan,nan,nan,nan,477.7
260,20757,0.21983718872070312,-0.513086199760437,236.0,236,nan,nan,nan,nan,477.7
261,20983,0.22697138786315918,-1.401188611984253,226.0,226,nan,nan,nan,nan,477.7
262,21263,0.3464837074279785,-6.066660404205322,280.0,280,nan,nan,nan,nan,477.7
