iteration,env_steps,dt_sec,lr,ent_coef,approx_kl,updates,rollout_ep_ret_mean,rollout_ep_ret_n,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
74,153600,2.665245771408081,0.0002778,0.009260000000000001,0.0019455675574135967,64,-138.2208251953125,2,nan,nan,nan,nan,51.91346649338012
75,155648,2.510629892349243,0.00027749999999999997,0.009250000000000001,0.0031725950866530184,64,-10.608317375183105,3,nan,nan,nan,nan,51.91346649338012
76,157696,2.57643461227417,0.0002772,0.00924,0.0006962510269659106,64,93.64289855957031,2,nan,nan,nan,nan,51.91346649338012
77,159744,2.239567756652832,0.0002769,0.00923,0.004546589011119472,45,-7.629150390625,3,nan,nan,nan,nan,51.91346649338012
78,161792,2.3678691387176514,0.0002766,0.00922,0.0013380237069213763,64,6.200439453125,3,nan,nan,nan,nan,51.91346649338012
79,163840,2.341423988342285,0.0002763,0.009210000000000001,0.003792167317442363,64,49.83232116699219,2,nan,nan,nan,nan,51.91346649338012
80,165888,2.384727716445923,0.000276,0.0092,0.0031549175146210473,64,102.79508972167969,2,-32.17735935393787,73.12242184656206,116.24450874480326,88.44832393204914,51.91346649338012
81,167936,2.4457483291625977,0.0002757,0.00919,0.006150942324893549,64,48.277713775634766,2,nan,nan,nan,nan,51.91346649338012
82,169984,2.3478219509124756,0.00027539999999999997,0.00918,0.002150717107724631,64,-26.168785095214844,4,nan,nan,nan,nan,51.91346649338012
83,172032,2.3879175186157227,0.00027509999999999996,0.009170000000000001,0.002142837667634012,64,22.58872413635254,4,nan,nan,nan,nan,51.91346649338012
84,174080,2.3297924995422363,0.0002748,0.00916,0.004417962205479853,48,110.57275390625,1,nan,nan,nan,nan,51.91346649338012
85,176128,2.69594669342041,0.0002745,0.00915,0.0010248583275824785,64,66.26823425292969,5,nan,nan,nan,nan,51.91346649338012
86,178176,2.0752668380737305,0.0002742,0.00914,0.004027838878814251,31,-6.52490234375,2,nan,nan,nan,nan,51.91346649338012
87,180224,2.5988404750823975,0.0002739,0.009130000000000001,0.0035239753779023886,64,77.8960952758789,3,nan,nan,nan,nan,51.91346649338012
88,182272,2.515209913253784,0.0002736,0.009120000000000001,0.0032104551937663928,64,129.5974578857422,3,nan,nan,nan,nan,51.91346649338012
89,184320,2.3581366539001465,0.0002733,0.00911,0.0016038150279200636,64,61.78007507324219,4,nan,nan,nan,nan,51.91346649338012
90,186368,2.2836196422576904,0.00027299999999999997,0.0091,0.0014290066465036944,64,18.940000534057617,5,11.662908071036458,138.9104592201928,135.72938701698655,106.62814327294882,51.91346649338012
91,188416,2.395909070968628,0.00027269999999999996,0.00909,0.002161412801797269,64,-0.5536422729492188,2,nan,nan,nan,nan,51.91346649338012
92,190464,2.418306589126587,0.0002724,0.009080000000000001,0.00184882387475227,64,-18.125045776367188,6,nan,nan,nan,nan,51.91346649338012
93,192512,2.39612078666687,0.0002721,0.00907,0.00203845698342775,64,9.52481460571289,4,nan,nan,nan,nan,51.91346649338012
94,194560,2.4472439289093018,0.0002718,0.00906,0.00398718088035821,64,111.3309097290039,4,nan,nan,nan,nan,51.91346649338012
95,196608,2.4570581912994385,0.0002715,0.00905,0.003516538730764296,64,115.93260192871094,4,nan,nan,nan,nan,51.91346649338012
96,198656,2.148425340652466,0.0002712,0.009040000000000001,0.004394635666025485,41,3.7271385192871094,2,nan,nan,nan,nan,51.91346649338012
97,200704,2.8466296195983887,0.00027089999999999997,0.00903,0.003749526680621784,64,67.58631896972656,4,nan,nan,nan,nan,51.91346649338012
98,202752,2.6472442150115967,0.00027059999999999996,0.00902,0.002912275136623066,64,4.385467529296875,4,nan,nan,nan,nan,51.91346649338012
99,204800,2.603580951690674,0.00027029999999999996,0.00901,0.0037713595265813638,64,98.8372573852539,4,nan,nan,nan,nan,51.91346649338012
100,206848,2.5777597427368164,0.00027,0.009000000000000001,0.0025825777811405715,64,53.26316452026367,7,103.81615822917456,113.50687545329316,143.0030811783798,111.5839408398783,103.81615822917456
101,208896,2.273261070251465,0.0002697,0.00899,0.0033065581701521296,64,144.969482421875,1,nan,nan,nan,nan,103.81615822917456
102,210944,2.56921124458313,0.0002694,0.00898,0.002861008542822674,64,107.9984359741211,5,nan,nan,nan,nan,103.81615822917456
103,212992,2.774360418319702,0.0002691,0.00897,0.005783296157460427,64,100.06340789794922,1,nan,nan,nan,nan,103.81615822917456
104,215040,2.71178936958313,0.0002688,0.008960000000000001,0.0021529577898036223,64,95.95935821533203,5,nan,nan,nan,nan,103.81615822917456
105,217088,2.412351369857788,0.00026849999999999997,0.00895,0.0038014424310342685,37,23.452787399291992,3,nan,nan,nan,nan,103.81615822917456
106,219136,2.715317964553833,0.00026819999999999996,0.00894,0.003425951701501617,64,35.21564865112305,7,nan,nan,nan,nan,103.81615822917456
107,221184,2.8189830780029297,0.0002679,0.00893,0.0014286790283222217,64,76.68525695800781,4,nan,nan,nan,nan,103.81615822917456
108,223232,2.76556396484375,0.0002676,0.00892,0.0016422471453552134,64,138.77345275878906,2,nan,nan,nan,nan,103.81615822917456
109,225280,2.717139720916748,0.0002673,0.00891,0.0014451330789597705,64,115.55857849121094,4,nan,nan,nan,nan,103.81615822917456
110,227328,2.6005196571350098,0.000267,0.0089,0.0044344358902890235,64,116.3490219116211,4,55.555437318343614,137.92353275407862,111.5527773880124,111.34886521188996,103.81615822917456
111,229376,1.826197862625122,0.0002667,0.00889,0.004931440576910973,64,70.8750228881836,2,nan,nan,nan,nan,103.81615822917456
112,231424,1.963696002960205,0.00026639999999999997,0.00888,0.004674544958106708,64,103.255859375,2,nan,nan,nan,nan,103.81615822917456
113,233472,1.788719654083252,0.00026609999999999996,0.008870000000000001,0.003742748205695534,64,26.424551010131836,6,nan,nan,nan,nan,103.81615822917456
114,235520,2.2791473865509033,0.00026579999999999996,0.00886,0.0016473761352244765,64,36.45920944213867,5,nan,nan,nan,nan,103.81615822917456
