episode,env_steps,dt_sec,loss_mean,epsilon,buffer_size,ep_return,ep_length,train_updates,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
148,3152,0.056601762771606445,0.25825914767171654,0.8615048875706075,3152,28.0,28,28,nan,nan,nan,nan,9.35
149,3163,0.020079374313354492,0.21845706315203148,0.8606433826830369,3163,11.0,11,11,nan,nan,nan,nan,9.35
150,3184,0.04241490364074707,0.24713984167292005,0.8597827393003539,3184,21.0,21,21,9.1,0.6244997998398398,21.65,9.556542261717887,9.35
151,3194,0.019367694854736328,0.23039508610963821,0.8589229565610536,3194,10.0,10,10,nan,nan,nan,nan,9.35
152,3213,0.03765130043029785,0.22966738751060084,0.8580640336044925,3213,19.0,19,19,nan,nan,nan,nan,9.35
153,3225,0.025811195373535156,0.2179868413756291,0.857205969570888,3225,12.0,12,12,nan,nan,nan,nan,9.35
154,3234,0.017595529556274414,0.21453212284379536,0.8563487636013172,3234,9.0,9,9,nan,nan,nan,nan,9.35
155,3244,0.018119096755981445,0.19947822093963624,0.8554924148377159,3244,10.0,10,10,nan,nan,nan,nan,9.35
156,3260,0.03138875961303711,0.2142634706106037,0.8546369224228781,3260,16.0,16,16,nan,nan,nan,nan,9.35
157,3273,0.02375936508178711,0.2289914068980859,0.8537822855004553,3273,13.0,13,13,nan,nan,nan,nan,9.35
158,3292,0.037976741790771484,0.2436012366884633,0.8529285032149548,3292,19.0,19,19,nan,nan,nan,nan,9.35
159,3314,0.04161405563354492,0.249601637436585,0.8520755747117399,3314,22.0,22,22,nan,nan,nan,nan,9.35
160,3329,0.0295562744140625,0.20547836472590764,0.8512234991370281,3329,15.0,15,15,nan,nan,nan,nan,9.35
161,3340,0.023103952407836914,0.17796396819705312,0.8503722756378911,3340,11.0,11,11,nan,nan,nan,nan,9.35
162,3363,0.044646501541137695,0.24190707051235696,0.8495219033622532,3363,23.0,23,23,nan,nan,nan,nan,9.35
163,3382,0.03493666648864746,0.19739750184510885,0.8486723814588909,3382,19.0,19,19,nan,nan,nan,nan,9.35
164,3392,0.020047426223754883,0.23194830156862736,0.847823709077432,3392,10.0,10,10,nan,nan,nan,nan,9.35
165,3406,0.024808168411254883,0.2559127190283367,0.8469758853683546,3406,14.0,14,14,nan,nan,nan,nan,9.35
166,3422,0.03372597694396973,0.2557729841209948,0.8461289094829862,3422,16.0,16,16,nan,nan,nan,nan,9.35
167,3433,0.020845413208007812,0.16820016435601495,0.8452827805735033,3433,11.0,11,11,nan,nan,nan,nan,9.35
168,3450,0.0336766242980957,0.18178457131280618,0.8444374977929298,3450,17.0,17,17,nan,nan,nan,nan,9.35
169,3461,0.02313971519470215,0.2066088386557319,0.8435930602951368,3461,11.0,11,11,nan,nan,nan,nan,9.35
170,3481,0.04224514961242676,0.23720554634928703,0.8427494672348417,3481,20.0,20,20,nan,nan,nan,nan,9.35
171,3497,0.03371429443359375,0.2003441696288064,0.8419067177676068,3497,16.0,16,16,nan,nan,nan,nan,9.35
172,3511,0.028113842010498047,0.22242969793400594,0.8410648110498392,3511,14.0,14,14,nan,nan,nan,nan,9.35
173,3523,0.02648138999938965,0.211111213080585,0.8402237462387894,3523,12.0,12,12,nan,nan,nan,nan,9.35
174,3537,0.02667832374572754,0.21220546681433916,0.8393835224925505,3537,14.0,14,14,nan,nan,nan,nan,9.35
175,3547,0.01815199851989746,0.23585975617170335,0.838544138970058,3547,10.0,10,10,nan,nan,nan,nan,9.35
176,3558,0.020334720611572266,0.2345045633952726,0.8377055948310879,3558,11.0,11,11,nan,nan,nan,nan,9.35
177,3568,0.020004987716674805,0.19598775655031203,0.8368678892362568,3568,10.0,10,10,nan,nan,nan,nan,9.35
178,3579,0.022769451141357422,0.16551046547564593,0.8360310213470206,3579,11.0,11,11,nan,nan,nan,nan,9.35
179,3599,0.04462885856628418,0.19166373796761035,0.8351949903256736,3599,20.0,20,20,nan,nan,nan,nan,9.35
180,3610,0.022938013076782227,0.2511615211313421,0.8343597953353479,3610,11.0,11,11,nan,nan,nan,nan,9.35
181,3623,0.027189970016479492,0.21503542535580122,0.8335254355400126,3623,13.0,13,13,nan,nan,nan,nan,9.35
182,3648,0.05143618583679199,0.2017623743414879,0.8326919101044725,3648,25.0,25,25,nan,nan,nan,nan,9.35
183,3662,0.03391671180725098,0.19871548749506474,0.831859218194368,3662,14.0,14,14,nan,nan,nan,nan,9.35
184,3675,0.031226158142089844,0.16184021016726127,0.8310273589761736,3675,13.0,13,13,nan,nan,nan,nan,9.35
185,3688,0.02973484992980957,0.19368466562949693,0.8301963316171974,3688,13.0,13,13,nan,nan,nan,nan,9.35
186,3698,0.02110457420349121,0.2154710628092289,0.8293661352855802,3698,10.0,10,10,nan,nan,nan,nan,9.35
187,3711,0.02754664421081543,0.1983647157366459,0.8285367691502946,3711,13.0,13,13,nan,nan,nan,nan,9.35
188,3729,0.036566972732543945,0.2070887073253592,0.8277082323811443,3729,18.0,18,18,nan,nan,nan,nan,9.35
189,3756,0.06215071678161621,0.22568321483278717,0.8268805241487632,3756,27.0,27,27,nan,nan,nan,nan,9.35
190,3768,0.03336477279663086,0.19059697911143303,0.8260536436246144,3768,12.0,12,12,nan,nan,nan,nan,9.35
191,3787,0.05541801452636719,0.21195919458803378,0.8252275899809898,3787,19.0,19,19,nan,nan,nan,nan,9.35
192,3799,0.03725862503051758,0.16189688257873058,0.8244023623910088,3799,12.0,12,12,nan,nan,nan,nan,9.35
193,3808,0.02166914939880371,0.17519987084799343,0.8235779600286178,3808,9.0,9,9,nan,nan,nan,nan,9.35
194,3824,0.033258914947509766,0.20930574415251613,0.8227543820685892,3824,16.0,16,16,nan,nan,nan,nan,9.35
195,3835,0.02099299430847168,0.19876293702559036,0.8219316276865206,3835,11.0,11,11,nan,nan,nan,nan,9.35
196,3854,0.03826546669006348,0.20682167418693242,0.8211096960588341,3854,19.0,19,19,nan,nan,nan,nan,9.35
197,3869,0.029286861419677734,0.18724708718558153,0.8202885863627752,3869,15.0,15,15,nan,nan,nan,nan,9.35
198,3881,0.025946855545043945,0.15172662834326425,0.8194682977764125,3881,12.0,12,12,nan,nan,nan,nan,9.35
199,3897,0.0335237979888916,0.21017420012503862,0.818648829478636,3897,16.0,16,16,nan,nan,nan,nan,9.35
200,3928,0.06884622573852539,0.1884717907035543,0.8178301806491574,3928,31.0,31,31,9.3,0.7810249675906654,19.1,12.887590930814028,9.35
201,3942,0.02865123748779297,0.21635019672768457,0.8170123504685082,3942,14.0,14,14,nan,nan,nan,nan,9.35
202,3962,0.04043078422546387,0.23033382780849934,0.8161953381180397,3962,20.0,20,20,nan,nan,nan,nan,9.35
203,3973,0.023746490478515625,0.2207131101326509,0.8153791427799216,3973,11.0,11,11,nan,nan,nan,nan,9.35
204,3991,0.03572440147399902,0.20306016442676386,0.8145637636371417,3991,18.0,18,18,nan,nan,nan,nan,9.35
205,4004,0.02866387367248535,0.5037815181108621,0.8137491998735046,4004,13.0,13,13,nan,nan,nan,nan,9.35
206,4018,0.029576539993286133,1.0581835465771812,0.812935450673631,4018,14.0,14,14,nan,nan,nan,nan,9.35
207,4036,0.03541374206542969,0.8218445181846619,0.8121225152229574,4036,18.0,18,18,nan,nan,nan,nan,9.35
208,4047,0.02182149887084961,0.6991782838648016,0.8113103927077344,4047,11.0,11,11,nan,nan,nan,nan,9.35
209,4057,0.018265724182128906,0.5041249722242356,0.8104990823150267,4057,10.0,10,10,nan,nan,nan,nan,9.35
210,4072,0.03931784629821777,0.5273434142271678,0.8096885832327116,4072,15.0,15,15,nan,nan,nan,nan,9.35
211,4081,0.017712831497192383,0.48878050181600785,0.8088788946494789,4081,9.0,9,9,nan,nan,nan,nan,9.35
212,4093,0.024274110794067383,0.3878883868455887,0.8080700157548294,4093,12.0,12,12,nan,nan,nan,nan,9.35
213,4115,0.04928398132324219,0.4639522555199536,0.8072619457390746,4115,22.0,22,22,nan,nan,nan,nan,9.35
214,4126,0.027812719345092773,0.4059233164245432,0.8064546837933355,4126,11.0,11,11,nan,nan,nan,nan,9.35
215,4142,0.03491973876953125,0.42506186570972204,0.8056482291095421,4142,16.0,16,16,nan,nan,nan,nan,9.35
216,4154,0.026442527770996094,0.48025084907809895,0.8048425808804326,4154,12.0,12,12,nan,nan,nan,nan,9.35
217,4168,0.03292036056518555,0.3556608972804887,0.8040377382995522,4168,14.0,14,14,nan,nan,nan,nan,9.35
218,4186,0.0407719612121582,0.35805828538205886,0.8032337005612527,4186,18.0,18,18,nan,nan,nan,nan,9.35
219,4203,0.03784012794494629,0.3331999485107029,0.8024304668606914,4203,17.0,17,17,nan,nan,nan,nan,9.35
220,4217,0.03326845169067383,0.414292890046324,0.8016280363938307,4217,14.0,14,14,nan,nan,nan,nan,9.35
221,4232,0.0403900146484375,0.37918324694037436,0.8008264083574369,4232,15.0,15,15,nan,nan,nan,nan,9.35
222,4250,0.0523982048034668,0.39874158137374455,0.8000255819490795,4250,18.0,18,18,nan,nan,nan,nan,9.35
223,4265,0.0434117317199707,0.39436883727709454,0.7992255563671304,4265,15.0,15,15,nan,nan,nan,nan,9.35
224,4291,0.08051562309265137,0.34602210928614324,0.7984263308107633,4291,26.0,26,26,nan,nan,nan,nan,9.35
225,4300,0.02926325798034668,0.27886657209859955,0.7976279044799526,4300,9.0,9,9,nan,nan,nan,nan,9.35
226,4328,0.061035871505737305,0.32066784439874546,0.7968302765754727,4328,28.0,28,28,nan,nan,nan,nan,9.35
227,4338,0.02192974090576172,0.36867091357707976,0.7960334462988972,4338,10.0,10,10,nan,nan,nan,nan,9.35
228,4352,0.03533744812011719,0.3566072849290712,0.7952374128525983,4352,14.0,14,14,nan,nan,nan,nan,9.35
229,4373,0.046028852462768555,0.33140715459982556,0.7944421754397457,4373,21.0,21,21,nan,nan,nan,nan,9.35
230,4408,0.08396100997924805,0.29808424828307967,0.7936477332643059,4408,35.0,35,35,nan,nan,nan,nan,9.35
231,4427,0.04444456100463867,0.3750405525298495,0.7928540855310416,4427,19.0,19,19,nan,nan,nan,nan,9.35
232,4450,0.08130955696105957,0.27411196947745653,0.7920612314455105,4450,23.0,23,23,nan,nan,nan,nan,9.35
233,4487,0.13779377937316895,0.3560966847313417,0.7912691702140651,4487,37.0,37,37,nan,nan,nan,nan,9.35
234,4563,0.20221948623657227,0.3718337501938406,0.790477901043851,4563,76.0,76,76,nan,nan,nan,nan,9.35
235,4574,0.02921152114868164,0.3342963294549422,0.7896874231428072,4574,11.0,11,11,nan,nan,nan,nan,9.35
236,4586,0.02575087547302246,0.2669433495029807,0.7888977357196644,4586,12.0,12,12,nan,nan,nan,nan,9.35
